YPT,XPT,ZPT,DENSITY,MO_PCT,CU_PCT,ROCK
8424380,686005,3568,2.47,0.0,0.0,100
8424380,686005,3576,2.47,0.0,0.0,100
8424380,686005,3584,2.47,0.0,0.0,100
8424380,686005,3592,2.47,0.0,0.0,100
8424380,686005,3600,2.47,0.0,0.0,100
8424380,686005,3608,2.47,0.0,0.0,100
8424380,686005,3616,2.47,0.0,0.0,100
8424380,686005,3624,2.47,0.0,0.0,100
8424380,686005,3632,2.47,0.0,0.0,100
8424380,686005,3640,2.47,0.0,0.0,100
8424380,686005,3648,2.47,0.0,0.0,100
8424380,686005,3656,2.47,0.0,0.0,100
8424380,686005,3664,2.47,0.0,0.0,100
8424380,686005,3672,2.47,0.0,0.0,100
8424380,686005,3680,2.47,0.0,0.0,100
8424380,686005,3688,2.47,0.0,0.0,100
8424380,686005,3696,2.47,0.0,0.0,100
8424380,686005,3704,2.47,0.0,0.0,100
8424380,686005,3712,2.47,0.0,0.0,100
8424380,686005,3720,2.47,0.0,0.0,100
8424380,686005,3728,2.47,0.0,0.0,100
8424380,686005,3736,2.47,0.0,0.0,100
8424380,686005,3744,2.47,0.0,0.0,100
8424380,686005,3752,2.47,0.0,0.0,100
8424380,686005,3760,2.47,0.0,0.0,100
8424380,686005,3768,2.47,0.0,0.0,100
8424380,686005,3776,2.47,0.0,0.0,100
8424290,685915,3320,2.31,0.0,0.0,400
8424290,685915,3328,2.31,0.0,0.0,400
8424290,685915,3336,2.31,0.0,0.0,400
8424290,685915,3344,2.31,0.0,0.0,400
8424290,685915,3352,2.31,0.0,0.0,400
8424290,685915,3360,2.31,0.0,0.0,400
8424290,685915,3368,2.31,0.0,0.0,400
8424290,685915,3376,2.31,0.0,0.0,400
8424290,685915,3384,2.31,0.0,0.0,400
8424290,685915,3392,2.31,0.0,0.0,400
8424290,685915,3400,2.31,0.0,0.0,400
8424290,685915,3408,2.31,0.0,0.0,400
8424290,685915,3416,2.31,0.0,0.0,400
8424290,685915,3424,2.31,0.0,0.0,400
8424290,685915,3432,2.31,0.0,0.0,300
8424290,685915,3440,2.31,0.0,0.0,300
8424290,685915,3448,2.31,0.0,0.0,300
8424290,685915,3456,2.31,0.0,0.0,300
8424290,685915,3464,2.31,0.0,0.0,300
8424290,685915,3472,2.31,0.0,0.0,300
8424290,685915,3480,2.31,0.0,0.0,300
8424290,685915,3488,2.31,0.0,0.0,300
8424290,685915,3496,2.31,0.0,0.0,300
8424290,685915,3504,2.31,0.0,0.0,300
8424290,685915,3512,2.31,0.0,0.0,300
8424290,685915,3520,2.31,0.0,0.0,300
8424290,685915,3528,2.31,0.0,0.0,300
8424290,685915,3536,2.31,0.0,0.0,300
8424290,685915,3544,2.31,0.0,0.0,300
8424290,685915,3552,2.31,0.0,0.0,300
8424290,685915,3560,2.31,0.0,0.0,300
8424290,685915,3568,2.31,0.0,0.0,300
8424290,685915,3576,2.31,0.0,0.0,300
8424290,685915,3584,2.31,0.0,0.0,300
8424290,685915,3592,2.31,0.0,0.0,300
8424290,685915,3600,2.31,0.0,0.0,300
8424290,685915,3608,2.31,0.0,0.0,300
8424290,685915,3616,2.31,0.0,0.0,300
8424290,685915,3624,2.31,0.0,0.0,300
8424290,685915,3632,2.31,0.0,0.0,300
8424290,685915,3640,2.31,0.0,0.0,300
8424290,685915,3648,2.31,0.0,0.0,300
8424290,685915,3656,2.31,0.0,0.0,300
8424290,685915,3664,2.47,0.0,0.0,100
8424290,685915,3672,2.47,0.0,0.0,100
8424290,685915,3680,2.47,0.0,0.0,100
8424290,685915,3688,2.47,0.0,0.0,100
8424290,685915,3696,2.47,0.0,0.0,100
8424290,685915,3704,2.47,0.0,0.0,100
8424290,685915,3712,2.47,0.0,0.0,100
8424290,685915,3720,2.47,0.0,0.0,100
8424290,685915,3728,2.47,0.0,0.0,100
8424560,685240,3320,2.47,0.0,0.0,100
8424560,685240,3328,2.47,0.0,0.0,100
8424560,685240,3336,2.47,0.0,0.0,100
8424560,685240,3344,2.47,0.0,0.0,100
8424560,685240,3352,2.47,0.0,0.0,100
8424560,685240,3360,2.47,0.0,0.0,100
8424560,685240,3368,2.47,0.0,0.0,100
8424560,685240,3376,2.47,0.0,0.0,100
8424560,685240,3384,2.47,0.0,0.0,100
8424560,685240,3392,2.47,0.0,0.0,100
8424560,685240,3400,2.47,0.0,0.0,100
8424560,685240,3408,2.47,0.0,0.0,100
